City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
183,husavik,66.0449,-17.3389,2.67,84,100,3.11,IS,1667590534
184,saint george,37.1041,-113.5841,11.91,33,0,1.34,US,1667590534
185,ponta do sol,32.6667,-17.1,23.17,87,15,1.16,PT,1667590535
186,revelstoke,50.9832,-118.2023,2.01,93,100,7.72,CA,1667590536
187,hilo,19.7297,-155.09,22.84,94,100,3.09,US,1667590536
188,asyut,27.181,31.1837,21.1,43,34,4.16,EG,1667590537
189,nikolskoye,59.7035,30.7861,-2.06,85,34,1.52,RU,1667590537
190,quesnel,52.9999,-122.5029,1.28,93,100,3.09,CA,1667590467
191,bethel,41.3712,-73.414,22.79,58,0,4.63,US,1667590538
192,quemado de guines,22.7853,-80.2536,29.12,56,31,5.95,CU,1667590538
193,vardo,70.3705,31.1107,2.99,87,75,8.23,NO,1667590539
194,belaya gora,68.5333,146.4167,-28.2,100,98,0.96,RU,1667590539
195,araouane,18.9048,-3.5265,27.14,12,0,2.93,ML,1667590540
196,port lincoln,-34.7333,135.8667,14.23,87,47,4.67,AU,1667590540
197,fort nelson,58.8053,-122.7002,-8.92,76,100,4.12,CA,1667590540
198,rudbar,30.15,62.6,21.14,36,93,0.7,AF,1667590541
199,obregon,11.9566,-85.9636,27.05,83,83,1.86,NI,1667590541
200,saravan,39.7196,45.6483,4.2,60,1,1.33,AM,1667590541
201,takoradi,4.8845,-1.7554,26.03,86,100,2.71,GH,1667590415
202,oktyabrskoye,43.0645,44.7417,2.08,100,100,2.0,RU,1667590542
203,port hawkesbury,45.6169,-61.3485,18.51,54,0,4.12,CA,1667590542
204,hefei,31.8639,117.2808,10.01,76,0,1.0,CN,1667590543
205,vila,42.0304,-8.1588,6.49,85,75,1.46,PT,1667590473
206,sao joao da barra,-21.6403,-41.0511,23.05,63,6,7.01,BR,1667590528
207,ust-barguzin,53.45,108.9833,-2.56,85,100,1.59,RU,1667590544
208,namatanai,-3.6667,152.4333,26.42,79,100,0.5,PG,1667590544
209,bengkulu,-3.8004,102.2655,24.1,88,100,1.55,ID,1667590544
210,telsiai,55.9814,22.2472,4.99,89,87,4.94,LT,1667590545
211,cayenne,4.9333,-52.3333,25.02,94,75,0.0,GF,1667590512
212,palmer,42.1584,-72.3287,22.36,46,20,7.72,US,1667590545
213,inhambane,-23.865,35.3833,24.39,85,98,5.07,MZ,1667590545
214,sorland,67.667,12.6934,8.92,86,100,4.57,NO,1667590546
215,kpandu,6.9954,0.2931,25.67,84,100,3.03,GH,1667590546
216,deputatskiy,69.3,139.9,-26.25,86,75,1.41,RU,1667590547
217,guaira,-20.3183,-48.3106,26.14,34,64,4.95,BR,1667590547
218,upernavik,72.7868,-56.1549,-2.27,94,100,4.86,GL,1667590547
219,alibag,18.6411,72.8792,24.04,55,0,2.9,IN,1667590548
220,whitehorse,60.7161,-135.0538,-8.88,65,100,5.14,CA,1667590316
221,nome,64.5011,-165.4064,-10.96,79,0,1.54,US,1667590429
222,bafq,31.6128,55.4107,17.39,47,0,1.91,IR,1667590549
223,luang prabang,19.8856,102.1347,15.99,81,0,0.69,LA,1667590549
224,isangel,-19.55,169.2667,23.06,94,4,0.0,VU,1667590549
225,khatanga,71.9667,102.5,-27.01,100,71,0.63,RU,1667590550
226,pasighat,28.0667,95.3333,17.32,62,0,1.79,IN,1667590550
227,guerrero negro,27.9769,-114.0611,21.52,30,1,1.27,MX,1667590452
228,udachnyy,66.4167,112.4,-13.39,94,99,6.33,RU,1667590551
229,naze,28.3667,129.4833,17.51,67,41,6.43,JP,1667590551
230,butaritari,3.0707,172.7902,26.4,74,90,3.1,KI,1667590551
231,suhut,38.5311,30.5458,11.21,44,4,1.19,TR,1667590552
232,egvekinot,66.3167,-179.1667,-16.62,70,0,2.9,RU,1667590552
233,benguela,-12.5763,13.4055,24.8,81,10,2.43,AO,1667590553
